seed,classifier,train_fun,train_accuracy,test_accuracy,fold_id,roc_auc
0.0,BernoulliNB,partial_train,0.5794101279910963,0.5327102803738317,0.0,0.6614251773742107
0.0,BernoulliNB,partial_train,0.5037284362826934,0.4913217623497997,1.0,0.6531748356440799
0.0,BernoulliNB,partial_train,0.4918762519474738,0.493766696349065,2.0,0.6542649333259426
0.0,BernoulliNB,partial_train,0.4927665257066548,0.4879786286731968,3.0,0.655534941249227
0.0,BernoulliNB,partial_train,0.4920988203872691,0.4964381121994657,4.0,0.6611002605228063
1.0,BernoulliNB,partial_train,0.4962715637173066,0.4895416110369381,0.0,0.6558012757924886
1.0,BernoulliNB,partial_train,0.4947134112409571,0.5033377837116155,1.0,0.6648815335546444
1.0,BernoulliNB,partial_train,0.4994435789005119,0.4906500445235975,2.0,0.6553882137612993
1.0,BernoulliNB,partial_train,0.4973291787224571,0.5075690115761353,3.0,0.6665188523084581
1.0,BernoulliNB,partial_train,0.5044513687959047,0.4902048085485307,4.0,0.6538258377324407
2.0,BernoulliNB,partial_train,0.505731775180857,0.4935469514908767,0.0,0.6559054221180759
2.0,BernoulliNB,partial_train,0.5066221480244852,0.4979973297730307,1.0,0.6588345375252229
2.0,BernoulliNB,partial_train,0.5056754952147785,0.5093499554764025,2.0,0.6714988919357486
2.0,BernoulliNB,partial_train,0.5075673269530381,0.5057880676758683,3.0,0.6653472061455993
2.0,BernoulliNB,partial_train,0.5057867794346762,0.5173642030276047,4.0,0.6735976384482536
3.0,BernoulliNB,partial_train,0.5067334446299387,0.5180240320427236,0.0,0.6739146000130183
3.0,BernoulliNB,partial_train,0.5104062326099054,0.5104583889630618,1.0,0.6689351038208683
3.0,BernoulliNB,partial_train,0.513131537947919,0.5040071237756011,2.0,0.6667144889590283
3.0,BernoulliNB,partial_train,0.5121299799688405,0.5115761353517364,3.0,0.6697897884189624
3.0,BernoulliNB,partial_train,0.5144669485866904,0.5093499554764025,4.0,0.6664210339831731
4.0,BernoulliNB,partial_train,0.5164162493043962,0.5037828215398309,0.0,0.6626423875545141
4.0,BernoulliNB,partial_train,0.5166388425153032,0.5064530485091233,1.0,0.669463971880492
4.0,BernoulliNB,partial_train,0.5097930113509904,0.53739982190561,2.0,0.6855091932922714
4.0,BernoulliNB,partial_train,0.5179167594035166,0.5075690115761353,3.0,0.6646146555762422
4.0,BernoulliNB,partial_train,0.5155797907856666,0.518699910952805,4.0,0.6770153020466855
0.0,MultinomialNB,partial_train,0.4691151919866444,0.4485981308411215,0.0,0.609862982490399
0.0,MultinomialNB,partial_train,0.4464106844741235,0.4432576769025367,1.0,0.6171092885504134
0.0,MultinomialNB,partial_train,0.4394613843756955,0.4416740872662511,2.0,0.6187248185741783
0.0,MultinomialNB,partial_train,0.4405742265746717,0.4354407836153161,3.0,0.6139893247601006
0.0,MultinomialNB,partial_train,0.4410193634542622,0.4430097951914514,4.0,0.624681411148898
1.0,MultinomialNB,partial_train,0.4439621591541458,0.4365821094793057,0.0,0.6177797305213826
1.0,MultinomialNB,partial_train,0.4420701168614357,0.4485981308411215,1.0,0.6231562845798346
1.0,MultinomialNB,partial_train,0.4455820164700645,0.4430097951914514,2.0,0.6170646242200347
1.0,MultinomialNB,partial_train,0.4454707322501669,0.4510240427426536,3.0,0.6248759609291872
1.0,MultinomialNB,partial_train,0.4490318272868907,0.4421193232413179,4.0,0.6221913913352527
2.0,MultinomialNB,partial_train,0.4520868113522537,0.4339118825100133,0.0,0.6128571893510383
2.0,MultinomialNB,partial_train,0.4501947690595437,0.4508233199821985,1.0,0.6252538566686193
2.0,MultinomialNB,partial_train,0.4519252170042288,0.4519145146927871,2.0,0.6324438386954079
2.0,MultinomialNB,partial_train,0.4514800801246383,0.4585930543187889,3.0,0.6317596538535529
2.0,MultinomialNB,partial_train,0.4532606276430002,0.4603739982190561,4.0,0.6297576387960522
3.0,MultinomialNB,partial_train,0.4511964385086255,0.4735202492211838,0.0,0.6401923452450693
3.0,MultinomialNB,partial_train,0.4570951585976627,0.454828660436137,1.0,0.6272570461498406
3.0,MultinomialNB,partial_train,0.4600489650567549,0.45013357079252,2.0,0.6300027280444052
3.0,MultinomialNB,partial_train,0.4600489650567549,0.4528049866429207,3.0,0.6273170715801898
3.0,MultinomialNB,partial_train,0.4612730914756288,0.4536954585930543,4.0,0.6272681624175473
4.0,MultinomialNB,partial_train,0.4618809126321647,0.4566088117489986,0.0,0.6271626635422769
4.0,MultinomialNB,partial_train,0.4619922092376182,0.4628393413440142,1.0,0.6388595977348174
4.0,MultinomialNB,partial_train,0.4603828177164478,0.4755120213713268,2.0,0.6441597568888556
4.0,MultinomialNB,partial_train,0.4682839973291787,0.45013357079252,3.0,0.6204817443833262
4.0,MultinomialNB,partial_train,0.4641664811929668,0.4692787177203918,4.0,0.6406937275629216
0.0,GaussianNB,partial_train,0.8716750139120757,0.6746773475745438,0.0,0.6219309379678448
0.0,GaussianNB,partial_train,0.8556483027267668,0.8571428571428571,1.0,0.90597539543058
0.0,GaussianNB,partial_train,0.8577787669708435,0.8481745325022262,2.0,0.9001171646162859
0.0,GaussianNB,partial_train,0.8563320721121745,0.8539626001780944,3.0,0.9039250146455772
0.0,GaussianNB,partial_train,0.8551079456933007,0.858860195903829,4.0,0.9071470415934388
1.0,GaussianNB,partial_train,0.856093489148581,0.8549176680017802,0.0,0.9045108377270064
1.0,GaussianNB,partial_train,0.8525319977740679,0.8691588785046729,1.0,0.913884007029877
1.0,GaussianNB,partial_train,0.8586690407300245,0.844612644701692,2.0,0.8977738722905683
